,MonthlyIncomeRange,YearsWithCurrManager,YearsSinceLastPromotion,YearsInCurrentRole,YearsAtCompany,WorkLifeBalance,TrainingTimesLastYear,TotalWorkingYears,StockOptionLevel,RelationshipSatisfaction,PerformanceRating,PercentSalaryHike,OverTime,NumCompaniesWorked,MaritalStatus,JobSatisfaction,JobRole,JobLevel,JobInvolvement,Gender,EnvironmentSatisfaction,EducationField,Education,DistanceFromHome,Department,BusinessTravel,Age,Attrition,DailyRate,EmployeeCount,EmployeeNumber,HourlyRate,MonthlyIncome,MonthlyRate,Over18,StandardHours,Attrition2,AgeAttritionRate,BusinessTravelAttritionRate,DepartmentAttritionRate,DistanceFromHomeAttritionRate,EducationAttritionRate,EducationFieldAttritionRate,EnvironmentSatisfactionAttritionRate,GenderAttritionRate,JobInvolvementAttritionRate,JobLevelAttritionRate,JobRoleAttritionRate,JobSatisfactionAttritionRate,MaritalStatusAttritionRate,NumCompaniesWorkedAttritionRate,OverTimeAttritionRate,PercentSalaryHikeAttritionRate,PerformanceRatingAttritionRate,RelationshipSatisfactionAttritionRate,StockOptionLevelAttritionRate,TotalWorkingYearsAttritionRate,TrainingTimesLastYearAttritionRate,WorkLifeBalanceAttritionRate,YearsAtCompanyAttritionRate,YearsInCurrentRoleAttritionRate,YearsSinceLastPromotionAttritionRate,YearsWithCurrManagerAttritionRate,MonthlyIncomeRangeAttritionRate,TotalAttritionScore
1,0 to 1500,1,1,0,1,3,5,1,0,4,3,11,Yes,1,Single,3,Research Scientist,1,3,Male,4,Medical,1,10,Research & Development,Travel_Rarely,20,Yes,1362,1,701,32,1009,26999,Y,80,1,0.545454545,0.149568552,0.138397503,0.127906977,0.182352941,0.135775862,0.134529148,0.170068027,0.144009217,0.26335175,0.160958904,0.165158371,0.255319149,0.188099808,0.305288462,0.195238095,0.160771704,0.148148148,0.244057052,0.49382716,0.117647059,0.142217245,0.34502924,0.299180328,0.137254902,0.144736842,0.526315789,6
2,0 to 1500,0,0,0,1,3,5,1,0,2,4,22,No,1,Married,2,Sales Representative,1,3,Male,4,Medical,1,10,Sales,Travel_Rarely,28,No,1144,1,1056,74,1052,23384,Y,80,0,0.291666667,0.149568552,0.206278027,0.127906977,0.182352941,0.135775862,0.134529148,0.170068027,0.144009217,0.26335175,0.397590361,0.164285714,0.124814264,0.188099808,0.104364326,0.214285714,0.163716814,0.148514851,0.244057052,0.49382716,0.117647059,0.142217245,0.34502924,0.299180328,0.189328744,0.323193916,0.526315789,6
3,0 to 1500,0,0,0,0,3,2,0,0,3,3,13,No,1,Single,3,Laboratory Technician,1,3,Male,3,Life Sciences,3,3,Research & Development,Travel_Rarely,18,Yes,230,1,405,54,1420,25233,Y,80,1,0.5,0.149568552,0.138397503,0.166666667,0.173076923,0.146864686,0.136865342,0.170068027,0.144009217,0.26335175,0.239382239,0.165158371,0.255319149,0.188099808,0.104364326,0.162679426,0.160771704,0.154684096,0.244057052,0.454545455,0.179159049,0.142217245,0.363636364,0.299180328,0.189328744,0.323193916,0.526315789,6.1
4,0 to 1500,0,0,0,1,3,3,1,0,4,3,14,No,1,Single,2,Laboratory Technician,1,3,Female,2,Medical,1,3,Research & Development,Travel_Rarely,19,No,1181,1,201,79,1483,16102,Y,80,0,0.666666667,0.149568552,0.138397503,0.166666667,0.182352941,0.135775862,0.149825784,0.147959184,0.144009217,0.26335175,0.239382239,0.164285714,0.255319149,0.188099808,0.104364326,0.119402985,0.160771704,0.148148148,0.244057052,0.49382716,0.140529532,0.142217245,0.34502924,0.299180328,0.189328744,0.323193916,0.526315789,6.2
5,0 to 1500,0,0,0,0,3,2,0,0,1,3,12,No,1,Single,3,Sales Representative,1,2,Female,4,Medical,3,10,Sales,Travel_Rarely,18,No,812,1,411,69,1200,9724,Y,80,0,0.5,0.149568552,0.206278027,0.127906977,0.173076923,0.135775862,0.134529148,0.147959184,0.189333333,0.26335175,0.397590361,0.165158371,0.255319149,0.188099808,0.104364326,0.166666667,0.160771704,0.206521739,0.244057052,0.454545455,0.179159049,0.142217245,0.363636364,0.299180328,0.189328744,0.323193916,0.526315789,6.4
6,0 to 1500,0,0,0,1,3,3,1,2,3,3,18,No,1,Married,3,Laboratory Technician,1,2,Male,3,Life Sciences,3,3,Research & Development,Non-Travel,35,No,727,1,704,41,1281,16900,Y,80,0,0.128205128,0.08,0.138397503,0.166666667,0.173076923,0.146864686,0.136865342,0.170068027,0.189333333,0.26335175,0.239382239,0.165158371,0.124814264,0.188099808,0.104364326,0.146067416,0.160771704,0.154684096,0.075949367,0.49382716,0.140529532,0.142217245,0.34502924,0.299180328,0.189328744,0.323193916,0.526315789,5.4
7,0 to 1500,1,0,0,1,3,2,1,1,4,4,22,No,1,Married,3,Research Scientist,1,3,Male,4,Life Sciences,2,1,Research & Development,Travel_Rarely,23,No,373,1,1270,47,1223,16901,Y,80,0,0.285714286,0.149568552,0.138397503,0.125,0.156028369,0.146864686,0.134529148,0.170068027,0.144009217,0.26335175,0.160958904,0.165158371,0.124814264,0.188099808,0.104364326,0.214285714,0.163716814,0.148148148,0.093959732,0.49382716,0.179159049,0.142217245,0.34502924,0.299180328,0.189328744,0.144736842,0.526315789,5.4
8,0 to 1500,0,0,0,1,2,3,1,0,3,3,13,No,1,Single,4,Sales Representative,1,3,Male,2,Medical,3,9,Sales,Travel_Rarely,30,Yes,945,1,1876,89,1081,16019,Y,80,1,0.15,0.149568552,0.206278027,0.211764706,0.173076923,0.135775862,0.149825784,0.170068027,0.144009217,0.26335175,0.397590361,0.11328976,0.255319149,0.188099808,0.104364326,0.162679426,0.160771704,0.154684096,0.244057052,0.49382716,0.140529532,0.168604651,0.34502924,0.299180328,0.189328744,0.323193916,0.526315789,6
9,0 to 1500,0,0,0,1,3,2,1,0,1,3,12,No,1,Single,2,Laboratory Technician,1,3,Male,4,Life Sciences,4,2,Research & Development,Travel_Rarely,32,Yes,1259,1,1692,95,1393,24852,Y,80,1,0.180327869,0.149568552,0.138397503,0.132701422,0.145728643,0.146864686,0.134529148,0.170068027,0.144009217,0.26335175,0.239382239,0.164285714,0.255319149,0.188099808,0.104364326,0.166666667,0.160771704,0.206521739,0.244057052,0.49382716,0.179159049,0.142217245,0.34502924,0.299180328,0.189328744,0.323193916,0.526315789,5.8
10,0 to 1500,0,0,0,1,3,3,1,0,4,3,17,No,1,Single,1,Sales Representative,1,4,Male,3,Technical Degree,3,24,Sales,Travel_Frequently,29,Yes,746,1,1928,45,1091,10642,Y,80,1,0.264705882,0.249097473,0.206278027,0.428571429,0.173076923,0.242424242,0.136865342,0.170068027,0.090277778,0.26335175,0.397590361,0.228373702,0.255319149,0.188099808,0.104364326,0.170731707,0.160771704,0.148148148,0.244057052,0.49382716,0.140529532,0.142217245,0.34502924,0.299180328,0.189328744,0.323193916,0.526315789,6.6
11,0 to 1500,0,0,0,1,2,2,1,2,2,3,13,No,1,Divorced,3,Research Scientist,1,3,Male,3,Technical Degree,3,7,Research & Development,Non-Travel,30,No,990,1,1482,64,1274,7152,Y,80,0,0.15,0.08,0.138397503,0.130952381,0.173076923,0.242424242,0.136865342,0.170068027,0.144009217,0.26335175,0.160958904,0.165158371,0.100917431,0.188099808,0.104364326,0.162679426,0.160771704,0.148514851,0.075949367,0.49382716,0.179159049,0.168604651,0.34502924,0.299180328,0.189328744,0.323193916,0.526315789,5.4
12,0 to 1500,0,0,0,1,3,3,1,0,2,3,12,No,1,Single,3,Sales Representative,1,1,Female,2,Life Sciences,4,1,Sales,Travel_Frequently,31,Yes,667,1,1427,50,1359,16154,Y,80,1,0.260869565,0.249097473,0.206278027,0.125,0.145728643,0.146864686,0.149825784,0.147959184,0.337349398,0.26335175,0.397590361,0.165158371,0.255319149,0.188099808,0.104364326,0.166666667,0.160771704,0.148514851,0.244057052,0.49382716,0.140529532,0.142217245,0.34502924,0.299180328,0.189328744,0.323193916,0.526315789,6.3
